Nome Instancia,Solucao otima TSP,Solucao GRASP TSP,Tempo GRASP TSP,Solucao TSPD
doublecenter-1-n5,519.3,519.3,0.0,700.89
doublecenter-10-n5,616.2,616.2,0.0,447.17
doublecenter-11-n6,523.24,523.24,0.0,885.03
doublecenter-12-n6,538.18,538.18,0.0,887.80
doublecenter-13-n6,697.37,697.37,0.0,695.15
doublecenter-14-n6,641.11,641.11,0.0,1150.06
doublecenter-15-n6,572.2,572.2,0.0,993.83
doublecenter-16-n6,584.36,584.36,0.0,1111.86
doublecenter-17-n6,621.07,621.07,0.0,966.28
doublecenter-18-n6,598.36,598.36,0.0,1160.69
doublecenter-19-n6,516.41,516.41,0.0,498.90
doublecenter-2-n5,459.02,459.02,0.0,339.20
doublecenter-20-n6,468.9,468.9,0.0,798.93
doublecenter-21-n7,679.82,679.82,0.0,1205.07
doublecenter-22-n7,578.0,578.0,0.0,1015.63
doublecenter-23-n7,625.47,625.47,0.0,1170.43
doublecenter-24-n7,616.9,616.9,0.0,1071.55
doublecenter-25-n7,816.05,816.05,0.0,1540.01
doublecenter-26-n7,529.13,529.13,0.0,920.47
doublecenter-27-n7,561.39,561.39,0.0,562.71
doublecenter-28-n7,654.92,654.92,0.0,781.64
doublecenter-29-n7,553.98,553.98,0.0,500.47
doublecenter-3-n5,570.1,570.1,0.0,406.91
doublecenter-30-n7,693.4,693.4,0.0,1269.08
doublecenter-31-n8,672.59,671.78,0.0,1030.37
doublecenter-32-n8,635.89,635.89,0.0,704.34
doublecenter-33-n8,605.73,605.73,0.0,978.77
doublecenter-34-n8,940.09,939.99,0.0,1220.68
doublecenter-35-n8,616.59,616.59,0.0,587.26
doublecenter-36-n8,749.87,749.87,0.0,734.43
doublecenter-37-n8,491.17,491.17,0.0,780.65
doublecenter-38-n8,719.56,719.56,0.0,1333.02
doublecenter-39-n8,792.64,792.64,0.0,1287.00
doublecenter-4-n5,461.76,461.76,0.0,830.73
doublecenter-40-n8,603.65,603.65,0.0,789.67
doublecenter-41-n9,832.91,832.91,0.0,1388.83
doublecenter-42-n9,815.54,815.54,0.0,844.80
doublecenter-43-n9,614.56,631.9,0.0,1043.86
doublecenter-44-n9,820.72,820.72,0.0,1106.58
doublecenter-45-n9,566.44,566.44,0.0,622.63
doublecenter-46-n9,573.93,573.93,0.0,667.39
doublecenter-47-n9,725.29,725.29,0.0,776.13
doublecenter-48-n9,526.73,526.73,0.0,554.60
doublecenter-49-n9,453.4,453.4,0.0,420.37
doublecenter-5-n5,563.3,563.3,0.0,1032.58
doublecenter-50-n9,596.38,602.33,0.0,745.56
doublecenter-6-n5,459.87,459.87,0.0,728.09
doublecenter-7-n5,541.75,541.4,0.0,1052.53
doublecenter-8-n5,710.08,710.08,0.0,737.13
doublecenter-9-n5,617.66,617.66,0.0,1069.26
doublecenter-alpha_1-1-n5,519.3,519.3,0.0,449.67
doublecenter-alpha_1-10-n5,616.2,616.2,0.0,447.17
doublecenter-alpha_1-11-n6,523.24,523.24,0.0,385.68
doublecenter-alpha_1-12-n6,538.18,538.18,0.0,471.52
doublecenter-alpha_1-13-n6,697.37,697.37,0.0,504.36
doublecenter-alpha_1-14-n6,641.11,641.11,0.0,592.75
doublecenter-alpha_1-15-n6,572.2,572.2,0.0,492.94
doublecenter-alpha_1-16-n6,584.36,584.36,0.0,490.69
doublecenter-alpha_1-17-n6,621.07,621.07,0.0,453.64
doublecenter-alpha_1-18-n6,598.36,598.36,0.0,585.86
doublecenter-alpha_1-19-n6,516.41,516.41,0.0,498.90
doublecenter-alpha_1-2-n5,459.02,459.02,0.0,339.20
doublecenter-alpha_1-20-n6,468.9,468.9,0.0,429.56
doublecenter-alpha_1-21-n7,679.82,679.82,0.0,1118.07
doublecenter-alpha_1-22-n7,578.0,578.0,0.0,634.96
doublecenter-alpha_1-23-n7,625.47,625.47,0.0,689.71
doublecenter-alpha_1-24-n7,616.9,616.9,0.0,606.35
