Nome Instancia,Solucao otima TSP,Solucao TSPD Grafo Aux,Tempo TSPD Grafo Aux,Solucao TSPD Paper
doublecenter-108-n175,2396.18,1060.29,304.74,
doublecenter-110-n175,2505.94,1781.12,488.31,
doublecenter-116-n250,2769.8,1770.33,1378.54,
doublecenter-17-n375,3720.1,3306.85,51.70,
doublecenter-18-n375,3423.01,3504.96,50.89,
doublecenter-2-n250,2692.76,2708.7,14.83,
doublecenter-8-n500,3849.63,3551.01,120.77,
doublecenter-9-n500,4253.32,4179.46,117.46,
doublecenter-alpha_1-103-n175,2402.36,2859.34,4.59,
doublecenter-alpha_1-107-n175,2169.41,2803.64,4.64,
doublecenter-alpha_1-116-n250,2770.94,3646.39,13.44,
doublecenter-alpha_1-14-n375,3702.06,4809.73,48.47,
doublecenter-alpha_1-14-n500,4169.22,4886.19,123.30,
doublecenter-alpha_1-3-n250,2665.14,3231.72,16.06,
doublecenter-alpha_1-4-n375,3440.43,4363.88,51.66,
doublecenter-alpha_1-6-n500,3784.54,4536.14,119.37,
doublecenter-alpha_3-101-n175,2110.06,1699.04,5.87,
doublecenter-alpha_3-104-n175,2395.86,1758.25,5.59,
doublecenter-alpha_3-111-n250,2771.94,2332.3,15.31,
doublecenter-alpha_3-12-n500,3978.08,3646.95,121.25,
doublecenter-alpha_3-13-n375,3602.29,2977.94,50.95,
doublecenter-alpha_3-2-n375,3516.89,3106.03,49.14,
doublecenter-alpha_3-3-n250,2662.85,2271.9,13.69,
doublecenter-alpha_3-8-n500,3848.96,3083.99,113.20,
singlecenter-102-n175,1731.12,1765.16,4.95,
singlecenter-106-n175,1841.88,1675.43,4.64,
singlecenter-11-n375,2467.04,2351.47,46.30,
singlecenter-111-n250,2014.8,1985.19,13.46,
singlecenter-113-n250,2074.85,2029.93,14.62,
singlecenter-13-n375,2527.5,2515.94,51.51,
singlecenter-14-n500,2870.15,2651.09,118.02,
singlecenter-7-n500,2926.16,2850.35,114.15,
singlecenter-alpha_1-102-n175,1731.84,2119.55,5.15,
singlecenter-alpha_1-109-n175,1772.57,2088.5,4.85,
singlecenter-alpha_1-111-n250,2013.28,2524.63,13.68,
singlecenter-alpha_1-12-n375,2624.91,3137.19,47.50,
singlecenter-alpha_1-14-n500,2872.02,3328.0,120.85,
singlecenter-alpha_1-15-n375,2634.05,3054.18,48.82,
singlecenter-alpha_1-7-n250,2056.67,2519.78,14.56,
singlecenter-alpha_1-8-n500,2811.81,3479.66,116.30,
singlecenter-alpha_3-102-n175,1731.07,1581.26,4.73,
singlecenter-alpha_3-109-n175,1772.68,1421.9,4.71,
singlecenter-alpha_3-120-n250,1999.88,1564.27,13.99,
singlecenter-alpha_3-13-n375,2526.98,2206.61,48.87,
singlecenter-alpha_3-17-n375,2361.8,1986.4,49.29,
singlecenter-alpha_3-7-n500,2928.96,2460.3,121.46,
singlecenter-alpha_3-8-n250,2135.04,1677.86,14.58,
singlecenter-alpha_3-8-n500,2815.55,2425.5,123.82,
uniform-101-n175,1017.61,1035.76,4.64,
uniform-107-n175,1001.47,996.35,6.47,
uniform-11-n375,1443.14,1531.19,49.77,
uniform-114-n250,1177.47,1177.41,13.83,
uniform-12-n500,1647.97,1611.69,117.11,
uniform-14-n500,1665.58,1611.64,116.08,
uniform-19-n375,1387.51,1480.71,54.34,
uniform-8-n250,1246.77,1275.23,13.98,
uniform-alpha_1-104-n175,1008.62,1285.06,4.97,
uniform-alpha_1-110-n175,987.33,1170.5,4.95,
uniform-alpha_1-115-n250,1207.87,1538.35,13.89,
uniform-alpha_1-13-n500,1626.7,2069.24,113.37,
uniform-alpha_1-14-n375,1415.08,1763.35,47.85,
uniform-alpha_1-16-n375,1451.74,1733.99,50.02,
uniform-alpha_1-7-n250,1221.81,1553.21,14.06,
uniform-alpha_1-7-n500,1645.82,1968.35,112.04,
uniform-alpha_3-102-n175,1012.9,919.8,4.71,
uniform-alpha_3-105-n175,1039.28,849.54,5.35,
uniform-alpha_3-14-n500,1664.71,1443.47,110.56,
uniform-alpha_3-2-n250,1201.04,1095.77,13.45,
uniform-alpha_3-3-n375,1427.65,1331.78,48.98,
uniform-alpha_3-4-n375,1450.6,1267.82,47.94,
uniform-alpha_3-6-n500,1628.46,1430.43,112.35,
uniform-alpha_3-9-n250,1225.14,1025.02,14.52,
