Nome Instancia,Solucao otima TSP,Solucao TSPD Grafo Aux,Tempo TSPD Grafo Aux,Solucao TSPD Paper
doublecenter-108-n175,2396.18,4415.91,14.64,
doublecenter-110-n175,2505.94,4313.81,24.88,
doublecenter-116-n250,2769.8,5965.88,27.08,
doublecenter-17-n375,3720.1,8752.32,144.62,
doublecenter-18-n375,3423.01,8874.06,102.57,
doublecenter-2-n250,2692.76,5266.58,58.45,
doublecenter-8-n500,3849.63,11473.82,246.01,
doublecenter-9-n500,4253.32,12746.53,361.61,
doublecenter-alpha_1-103-n175,2402.36,5617.77,10.50,
doublecenter-alpha_1-107-n175,2169.41,5481.89,15.93,
doublecenter-alpha_1-116-n250,2770.94,8041.92,64.24,
doublecenter-alpha_1-14-n375,3702.06,12218.46,109.47,
doublecenter-alpha_1-14-n500,4169.22,15647.94,239.50,
doublecenter-alpha_1-3-n250,2665.14,7152.52,32.54,
doublecenter-alpha_1-4-n375,3440.43,11947.48,107.58,
doublecenter-alpha_1-6-n500,3784.54,15028.46,377.48,
doublecenter-alpha_3-101-n175,2110.06,3070.8,16.44,
doublecenter-alpha_3-104-n175,2395.86,3365.26,16.81,
doublecenter-alpha_3-111-n250,2771.94,4991.89,79.54,
doublecenter-alpha_3-12-n500,3978.08,10631.81,390.30,
doublecenter-alpha_3-13-n375,3602.29,7895.17,174.70,
doublecenter-alpha_3-2-n375,3516.89,7620.2,172.17,
doublecenter-alpha_3-3-n250,2662.85,4921.02,70.12,
doublecenter-alpha_3-8-n500,3848.96,10216.88,422.53,
singlecenter-102-n175,1731.12,3263.78,10.50,
singlecenter-106-n175,1841.88,3361.5,10.53,
singlecenter-11-n375,2467.04,5787.81,108.68,
singlecenter-111-n250,2014.8,4174.92,33.50,
singlecenter-113-n250,2074.85,4174.33,30.74,
singlecenter-13-n375,2527.5,6358.63,169.11,
singlecenter-14-n500,2870.15,7683.81,384.59,
singlecenter-7-n500,2926.16,8410.9,247.70,
singlecenter-alpha_1-102-n175,1731.84,4046.92,15.15,
singlecenter-alpha_1-109-n175,1772.57,4162.23,9.95,
singlecenter-alpha_1-111-n250,2013.28,5608.89,29.23,
singlecenter-alpha_1-12-n375,2624.91,8272.2,164.04,
singlecenter-alpha_1-14-n500,2872.02,9966.72,386.94,
singlecenter-alpha_1-15-n375,2634.05,8086.95,111.35,
singlecenter-alpha_1-7-n250,2056.67,5550.29,33.34,
singlecenter-alpha_1-8-n500,2811.81,9836.81,268.23,
singlecenter-alpha_3-102-n175,1731.07,2754.09,16.67,
singlecenter-alpha_3-109-n175,1772.68,2932.13,11.39,
singlecenter-alpha_3-120-n250,1999.88,3684.27,32.57,
singlecenter-alpha_3-13-n375,2526.98,5509.91,161.79,
singlecenter-alpha_3-17-n375,2361.8,4987.43,155.70,
singlecenter-alpha_3-7-n500,2928.96,7579.38,357.11,
singlecenter-alpha_3-8-n250,2135.04,4050.55,28.81,
singlecenter-alpha_3-8-n500,2815.55,6830.6,233.27,
uniform-101-n175,1017.61,1783.1,14.77,
uniform-107-n175,1001.47,1829.27,9.72,
uniform-11-n375,1443.14,3646.61,200.74,
uniform-114-n250,1177.47,2580.79,29.33,
uniform-12-n500,1647.97,4725.34,229.30,
uniform-14-n500,1665.58,4872.64,242.93,
uniform-19-n375,1387.51,3772.23,103.45,
uniform-8-n250,1246.77,2645.38,44.92,
uniform-alpha_1-104-n175,1008.62,2286.52,10.31,
uniform-alpha_1-110-n175,987.33,2409.61,9.72,
uniform-alpha_1-115-n250,1207.87,3117.08,29.12,
uniform-alpha_1-13-n500,1626.7,6339.51,234.76,
uniform-alpha_1-14-n375,1415.08,4577.37,99.02,
uniform-alpha_1-16-n375,1451.74,4846.33,99.47,
uniform-alpha_1-7-n250,1221.81,3352.41,29.14,
uniform-alpha_1-7-n500,1645.82,6360.51,366.47,
uniform-alpha_3-102-n175,1012.9,1716.21,10.47,
uniform-alpha_3-105-n175,1039.28,1709.91,20.86,
uniform-alpha_3-14-n500,1664.71,4552.35,241.11,
uniform-alpha_3-2-n250,1201.04,2283.73,29.58,
uniform-alpha_3-3-n375,1427.65,3551.05,109.60,
uniform-alpha_3-4-n375,1450.6,3456.09,103.63,
uniform-alpha_3-6-n500,1628.46,4296.2,489.65,
uniform-alpha_3-9-n250,1225.14,2149.37,46.16,
