Nome Instancia,Solucao otima TSP,Solucao TSPD Grafo Aux,Tempo TSPD Grafo Aux,Solucao TSPD Paper
doublecenter-1-n5,519.3,425.1,0.00,350.45
doublecenter-10-n5,616.2,223.59,0.00,223.59
doublecenter-11-n6,523.24,373.01,0.00,301.00
doublecenter-12-n6,538.18,418.91,0.00,416.25
doublecenter-13-n6,697.37,417.78,0.00,360.04
doublecenter-14-n6,641.11,575.57,0.00,458.09
doublecenter-15-n6,572.2,439.79,0.00,427.28
doublecenter-16-n6,584.36,489.95,0.00,413.09
doublecenter-17-n6,621.07,428.34,0.00,363.67
doublecenter-18-n6,598.36,579.44,0.00,422.50
doublecenter-19-n6,516.41,249.45,0.00,249.45
doublecenter-2-n5,459.02,171.55,0.02,171.55
doublecenter-20-n6,468.9,389.25,0.01,318.07
doublecenter-21-n7,679.82,493.39,0.03,489.48
doublecenter-22-n7,578.0,432.62,0.00,447.11
doublecenter-23-n7,625.47,488.5,0.02,416.32
doublecenter-24-n7,616.9,513.31,0.01,558.56
doublecenter-25-n7,816.05,569.71,0.01,523.02
doublecenter-26-n7,529.13,454.83,0.01,433.80
doublecenter-27-n7,561.39,280.59,0.02,248.73
doublecenter-28-n7,654.92,457.32,0.01,496.61
doublecenter-29-n7,553.98,448.23,0.02,500.47
doublecenter-3-n5,570.1,218.65,0.01,218.65
doublecenter-30-n7,693.4,511.12,0.02,471.16
doublecenter-31-n8,672.59,522.55,0.05,475.22
doublecenter-32-n8,635.89,483.19,0.02,593.01
doublecenter-33-n8,605.73,439.95,0.02,540.09
doublecenter-34-n8,940.09,670.67,0.02,799.15
doublecenter-35-n8,616.59,539.87,0.03,581.76
doublecenter-36-n8,749.87,552.76,0.02,576.47
doublecenter-37-n8,491.17,388.14,0.01,372.29
doublecenter-38-n8,719.56,549.65,0.04,626.74
doublecenter-39-n8,792.64,570.39,0.01,588.20
doublecenter-4-n5,461.76,398.5,0.01,323.66
doublecenter-40-n8,603.65,472.71,0.01,643.74
doublecenter-41-n9,832.91,653.84,0.02,918.75
doublecenter-42-n9,815.54,493.99,0.01,844.80
doublecenter-43-n9,614.56,519.04,0.01,632.48
doublecenter-44-n9,820.72,643.72,0.01,805.52
doublecenter-45-n9,566.44,499.21,0.02,622.63
doublecenter-46-n9,573.93,465.99,0.01,633.07
doublecenter-47-n9,725.29,630.25,0.01,776.13
doublecenter-48-n9,526.73,386.3,0.02,554.60
doublecenter-49-n9,453.4,261.09,0.02,236.91
doublecenter-5-n5,563.3,472.64,0.01,370.75
doublecenter-50-n9,596.38,476.67,0.03,745.56
doublecenter-6-n5,459.87,298.06,0.02,294.07
doublecenter-7-n5,541.75,513.89,0.02,392.45
doublecenter-8-n5,710.08,380.92,0.01,337.30
doublecenter-9-n5,617.66,472.01,0.00,432.09
doublecenter-alpha_1-1-n5,519.3,449.67,0.00,449.67
doublecenter-alpha_1-10-n5,616.2,447.17,0.00,447.17
doublecenter-alpha_1-11-n6,523.24,386.48,0.00,385.68
doublecenter-alpha_1-12-n6,538.18,474.18,0.00,471.52
doublecenter-alpha_1-13-n6,697.37,504.36,0.00,504.36
doublecenter-alpha_1-14-n6,641.11,592.75,0.02,592.75
doublecenter-alpha_1-15-n6,572.2,492.94,0.01,492.94
doublecenter-alpha_1-16-n6,584.36,491.08,0.01,490.69
doublecenter-alpha_1-17-n6,621.07,457.14,0.01,453.64
doublecenter-alpha_1-18-n6,598.36,585.86,0.00,585.86
doublecenter-alpha_1-19-n6,516.41,498.9,0.01,498.90
doublecenter-alpha_1-2-n5,459.02,339.2,0.01,339.20
doublecenter-alpha_1-20-n6,468.9,429.56,0.00,429.56
doublecenter-alpha_1-21-n7,679.82,640.41,0.00,667.07
doublecenter-alpha_1-22-n7,578.0,487.88,0.02,524.95
doublecenter-alpha_1-23-n7,625.47,531.08,0.01,553.86
doublecenter-alpha_1-24-n7,616.9,563.58,0.02,606.35
doublecenter-alpha_1-25-n7,816.05,636.1,0.03,764.00
doublecenter-alpha_1-26-n7,529.13,491.63,0.03,487.49
doublecenter-alpha_1-27-n7,561.39,346.77,0.00,379.55
doublecenter-alpha_1-28-n7,654.92,546.98,0.00,563.79
doublecenter-alpha_1-29-n7,553.98,500.47,0.04,498.80
doublecenter-alpha_1-3-n5,570.1,406.91,0.02,406.91
doublecenter-alpha_1-30-n7,693.4,568.13,0.03,578.16
doublecenter-alpha_1-31-n8,672.59,593.07,0.02,669.62
doublecenter-alpha_1-32-n8,635.89,574.56,0.04,673.38
doublecenter-alpha_1-33-n8,605.73,524.48,0.05,569.56
