Nome Instancia,Solucao otima TSP,Solucao TSPD Grafo Aux,Tempo TSPD Grafo Aux,Solucao TSPD Paper
doublecenter-1-n5,519.3,432.14,0.00,350.45
doublecenter-10-n5,616.2,231.32,0.00,223.59
doublecenter-11-n6,523.24,373.01,0.00,301.00
doublecenter-12-n6,538.18,398.85,0.00,416.25
doublecenter-13-n6,697.37,408.54,0.00,360.04
doublecenter-14-n6,641.11,555.32,0.00,458.09
doublecenter-15-n6,572.2,432.52,0.00,427.28
doublecenter-16-n6,584.36,420.23,0.00,413.09
doublecenter-17-n6,621.07,424.84,0.00,363.67
doublecenter-18-n6,598.36,573.66,0.00,422.50
doublecenter-19-n6,516.41,249.45,0.00,249.45
doublecenter-2-n5,459.02,171.55,0.00,171.55
doublecenter-20-n6,468.9,311.36,0.00,318.07
doublecenter-21-n7,679.82,450.82,0.00,489.48
doublecenter-22-n7,578.0,374.99,0.00,447.11
doublecenter-23-n7,625.47,494.92,0.00,416.32
doublecenter-24-n7,616.9,525.57,0.00,558.56
doublecenter-25-n7,816.05,605.95,0.00,523.02
doublecenter-26-n7,529.13,448.29,0.00,433.80
doublecenter-27-n7,561.39,279.54,0.00,248.73
doublecenter-28-n7,654.92,436.87,0.00,496.61
doublecenter-29-n7,553.98,425.84,0.00,500.47
doublecenter-3-n5,570.1,218.65,0.00,218.65
doublecenter-30-n7,693.4,424.71,0.00,471.16
doublecenter-31-n8,672.59,543.5,0.00,475.22
doublecenter-32-n8,635.89,487.86,0.00,593.01
doublecenter-33-n8,605.73,440.24,0.00,540.09
doublecenter-34-n8,940.09,646.58,0.00,799.15
doublecenter-35-n8,616.59,524.43,0.00,581.76
doublecenter-36-n8,749.87,502.1,0.00,576.47
doublecenter-37-n8,491.17,319.92,0.00,372.29
doublecenter-38-n8,719.56,515.95,0.00,626.74
doublecenter-39-n8,792.64,552.01,0.00,588.20
doublecenter-4-n5,461.76,348.01,0.00,323.66
doublecenter-40-n8,603.65,476.54,0.00,643.74
doublecenter-41-n9,832.91,674.26,0.00,918.75
doublecenter-42-n9,815.54,499.6,0.00,844.80
doublecenter-43-n9,614.56,521.86,0.00,632.48
doublecenter-44-n9,820.72,651.17,0.00,805.52
doublecenter-45-n9,566.44,465.4,0.00,622.63
doublecenter-46-n9,573.93,489.95,0.00,633.07
doublecenter-47-n9,725.29,665.62,0.00,776.13
doublecenter-48-n9,526.73,399.25,0.00,554.60
doublecenter-49-n9,453.4,248.68,0.00,236.91
doublecenter-5-n5,563.3,472.64,0.00,370.75
doublecenter-50-n9,596.38,404.71,0.00,745.56
doublecenter-6-n5,459.87,319.86,0.00,294.07
doublecenter-7-n5,541.75,487.66,0.00,392.45
doublecenter-8-n5,710.08,380.92,0.00,337.30
doublecenter-9-n5,617.66,432.09,0.00,432.09
doublecenter-alpha_1-1-n5,519.3,450.56,0.00,449.67
doublecenter-alpha_1-10-n5,616.2,447.17,0.00,447.17
doublecenter-alpha_1-11-n6,523.24,386.48,0.00,385.68
doublecenter-alpha_1-12-n6,538.18,480.91,0.00,471.52
doublecenter-alpha_1-13-n6,697.37,504.36,0.00,504.36
doublecenter-alpha_1-14-n6,641.11,599.48,0.00,592.75
doublecenter-alpha_1-15-n6,572.2,492.94,0.00,492.94
doublecenter-alpha_1-16-n6,584.36,491.08,0.00,490.69
doublecenter-alpha_1-17-n6,621.07,453.64,0.00,453.64
doublecenter-alpha_1-18-n6,598.36,592.32,0.00,585.86
doublecenter-alpha_1-19-n6,516.41,498.9,0.00,498.90
doublecenter-alpha_1-2-n5,459.02,339.2,0.00,339.20
doublecenter-alpha_1-20-n6,468.9,443.03,0.00,429.56
doublecenter-alpha_1-21-n7,679.82,640.41,0.00,667.07
doublecenter-alpha_1-22-n7,578.0,487.88,0.00,524.95
doublecenter-alpha_1-23-n7,625.47,603.86,0.00,553.86
doublecenter-alpha_1-24-n7,616.9,590.15,0.00,606.35
doublecenter-alpha_1-25-n7,816.05,724.71,0.00,764.00
doublecenter-alpha_1-26-n7,529.13,492.84,0.00,487.49
doublecenter-alpha_1-27-n7,561.39,368.87,0.00,379.55
doublecenter-alpha_1-28-n7,654.92,562.57,0.00,563.79
doublecenter-alpha_1-29-n7,553.98,515.91,0.00,498.80
doublecenter-alpha_1-3-n5,570.1,406.91,0.00,406.91
doublecenter-alpha_1-30-n7,693.4,569.83,0.00,578.16
doublecenter-alpha_1-31-n8,672.59,625.22,0.00,669.62
doublecenter-alpha_1-32-n8,635.89,574.56,0.00,673.38
doublecenter-alpha_1-33-n8,605.73,539.38,0.00,569.56
doublecenter-alpha_1-34-n8,940.09,825.11,0.00,946.47
doublecenter-alpha_1-35-n8,616.59,591.68,0.00,588.44
doublecenter-alpha_1-36-n8,749.87,569.72,0.00,743.62
doublecenter-alpha_1-37-n8,491.17,422.81,0.00,472.59
doublecenter-alpha_1-38-n8,719.56,614.49,0.00,733.24
doublecenter-alpha_1-39-n8,792.64,666.64,0.00,769.95
doublecenter-alpha_1-4-n5,461.76,428.46,0.00,428.46
doublecenter-alpha_1-40-n8,603.65,588.02,0.00,620.53
doublecenter-alpha_1-41-n9,832.91,746.67,0.00,1083.25
doublecenter-alpha_1-42-n9,815.54,552.52,0.00,906.94
doublecenter-alpha_1-43-n9,614.56,558.98,0.00,636.05
doublecenter-alpha_1-44-n9,820.72,791.14,0.00,919.86
doublecenter-alpha_1-45-n9,566.44,545.02,0.00,606.51
doublecenter-alpha_1-46-n9,573.93,534.18,0.00,564.83
doublecenter-alpha_1-47-n9,725.29,723.79,0.01,731.16
