Nome Instancia,Qtd Vertices,Solucao otima TSP,Solucao TSPD Spikes +  Grafo Aux ,Tempo TSPD Spikes + Grafo Aux,Solucao TSPD Paper
doublecenter-1-n5,5,519.3,432.14,0,350.45
doublecenter-10-n5,5,616.2,286.04,0,223.59
doublecenter-2-n5,5,459.02,177.01,0,171.55
doublecenter-3-n5,5,570.1,223.93,0,218.65
doublecenter-4-n5,5,461.76,396.29,0,323.66
doublecenter-5-n5,5,563.3,507.65,0,370.75
doublecenter-6-n5,5,459.87,319.86,0,294.07
doublecenter-7-n5,5,541.75,538.78,0,392.45
doublecenter-8-n5,5,710.08,378.79,0,337.3
doublecenter-9-n5,5,617.66,472.01,0,432.09
doublecenter-alpha_1-1-n5,5,519.3,450.56,0,449.67
doublecenter-alpha_1-10-n5,5,616.2,447.17,0,447.17
doublecenter-alpha_1-2-n5,5,459.02,339.2,0,339.2
doublecenter-alpha_1-3-n5,5,570.1,406.91,0,406.91
doublecenter-alpha_1-4-n5,5,461.76,461.56,0,428.46
doublecenter-alpha_1-5-n5,5,563.3,528.35,0,525.7
doublecenter-alpha_1-6-n5,5,459.87,420.94,0,420.94
doublecenter-alpha_1-7-n5,5,541.75,541.4,0,538.14
doublecenter-alpha_1-8-n5,5,710.08,457.83,0,382.75
doublecenter-alpha_1-9-n5,5,617.66,595.8,0,595.8
doublecenter-alpha_3-1-n5,5,519.3,425.1,0,254.49
doublecenter-alpha_3-10-n5,5,616.2,221.11,0,201.95
doublecenter-alpha_3-2-n5,5,459.02,171.55,0,162.75
doublecenter-alpha_3-3-n5,5,570.1,218.03,0,189.83
doublecenter-alpha_3-4-n5,5,461.76,354.96,0,313.67
doublecenter-alpha_3-5-n5,5,563.3,465.7,0,293.74
doublecenter-alpha_3-6-n5,5,459.87,309.08,0,226.45
doublecenter-alpha_3-7-n5,5,541.75,538.78,0,449.68
doublecenter-alpha_3-8-n5,5,710.08,352.44,0,250.45
doublecenter-alpha_3-9-n5,5,617.66,472.01,0,432.09
singlecenter-1-n5,5,281.1,212.98,0,156.76
singlecenter-10-n5,5,250.2,156.56,0,140.4
singlecenter-2-n5,5,301.24,161.24,0,140.54
singlecenter-3-n5,5,107.2,58.57,0,52.67
singlecenter-4-n5,5,247.62,108.94,0,108.94
singlecenter-5-n5,5,248.93,122.15,0,122.15
singlecenter-6-n5,5,354.47,225.17,0,162.22
singlecenter-7-n5,5,227.21,137.45,0,133.95
singlecenter-8-n5,5,152.82,81.5,0,81.5
singlecenter-9-n5,5,248.36,159.61,0,143.15
singlecenter-alpha_1-1-n5,5,281.1,222.01,0,213.31
singlecenter-alpha_1-10-n5,5,250.2,208.11,0,167.81
singlecenter-alpha_1-2-n5,5,301.24,193.07,0,181.53
singlecenter-alpha_1-3-n5,5,107.2,66.79,0,65.25
singlecenter-alpha_1-4-n5,5,247.62,189.62,0,189.62
singlecenter-alpha_1-5-n5,5,248.93,193.48,0,193.48
singlecenter-alpha_1-6-n5,5,354.47,276.38,0,216.85
singlecenter-alpha_1-7-n5,5,227.21,182.86,0,180.75
singlecenter-alpha_1-8-n5,5,152.82,130.86,0,130.86
singlecenter-alpha_1-9-n5,5,248.36,211.45,0,211.45
singlecenter-alpha_3-1-n5,5,281.1,212.98,0,156.76
singlecenter-alpha_3-10-n5,5,250.2,140.4,0,103.91
singlecenter-alpha_3-2-n5,5,301.24,160.28,0,102.8
singlecenter-alpha_3-3-n5,5,107.2,58.19,0,35.28
singlecenter-alpha_3-4-n5,5,247.62,91.1,0,81.91
singlecenter-alpha_3-5-n5,5,248.93,122.15,0,82
singlecenter-alpha_3-6-n5,5,354.47,210.57,0,129.04
singlecenter-alpha_3-7-n5,5,227.21,135.14,0,130.11
singlecenter-alpha_3-8-n5,5,152.82,78.75,0,61.55
singlecenter-alpha_3-9-n5,5,248.36,159.61,0,99.49
uniform-1-n5,5,313.23,196.24,0,158.65
uniform-10-n5,5,276.29,207.82,0,170.25
uniform-2-n5,5,261.48,247.81,0,199.07
uniform-3-n5,5,258.05,177.26,0,163.41
uniform-4-n5,5,222.94,181.84,0,136.1
uniform-5-n5,5,301.96,242.22,0,237.24
uniform-6-n5,5,262.46,232.44,0,198.76
uniform-7-n5,5,291.8,209.34,0,191.51
uniform-8-n5,5,245.21,172.6,0,154.27
uniform-9-n5,5,232.43,180.31,0.02,172.15
uniform-alpha_1-1-n5,5,313.23,243.31,0,228.57
uniform-alpha_1-10-n5,5,276.29,243.49,0,221.48
uniform-alpha_1-2-n5,5,261.48,261.45,0,238.84
uniform-alpha_1-3-n5,5,258.05,216.31,0,196.84
uniform-alpha_1-4-n5,5,222.94,202.96,0,191.51
uniform-alpha_1-5-n5,5,301.96,271.91,0,267.29
uniform-alpha_1-6-n5,5,262.46,246.74,0,243.42
uniform-alpha_1-7-n5,5,291.8,261.36,0,231.23
uniform-alpha_1-8-n5,5,245.21,239.68,0,216.29
uniform-alpha_1-9-n5,5,232.43,218.36,0,193.09
uniform-alpha_3-1-n5,5,313.23,196.24,0,158.65
uniform-alpha_3-10-n5,5,276.29,207.82,0,181.5
uniform-alpha_3-2-n5,5,261.48,226.57,0,187.25
uniform-alpha_3-3-n5,5,258.05,177.26,0,159.65
uniform-alpha_3-4-n5,5,222.94,181.84,0,136.1
uniform-alpha_3-5-n5,5,301.96,242.22,0,237.24
uniform-alpha_3-6-n5,5,262.46,222.67,0,175.39
uniform-alpha_3-7-n5,5,291.8,209.34,0,191.29
uniform-alpha_3-8-n5,5,245.21,172.6,0,154.63
uniform-alpha_3-9-n5,5,232.43,180.31,0,157.02
doublecenter-11-n6,6,523.24,355.93,0,301
doublecenter-12-n6,6,538.18,394.57,0,416.25
doublecenter-13-n6,6,697.37,379.51,0,360.04
doublecenter-14-n6,6,641.11,484.79,0,458.09
doublecenter-15-n6,6,572.2,432.52,0,427.28
doublecenter-16-n6,6,584.36,398.89,0,413.09
doublecenter-17-n6,6,621.07,434.5,0,363.67
doublecenter-18-n6,6,598.36,443.22,0,422.5
doublecenter-19-n6,6,516.41,249.45,0,249.45
doublecenter-20-n6,6,468.9,310.81,0,318.07
doublecenter-alpha_1-11-n6,6,523.24,441.79,0,385.68
doublecenter-alpha_1-12-n6,6,538.18,493.56,0,471.52
doublecenter-alpha_1-13-n6,6,697.37,504.36,0,504.36
doublecenter-alpha_1-14-n6,6,641.11,681.63,0,592.75
doublecenter-alpha_1-15-n6,6,572.2,492.94,0,492.94
doublecenter-alpha_1-16-n6,6,584.36,583.91,0,490.69
doublecenter-alpha_1-17-n6,6,621.07,514.7,0,453.64
doublecenter-alpha_1-18-n6,6,598.36,592.2,0,585.86
doublecenter-alpha_1-19-n6,6,516.41,498.9,0,498.9
doublecenter-alpha_1-20-n6,6,468.9,451.09,0,429.56
doublecenter-alpha_3-11-n6,6,523.24,237.29,0.01,217.58
doublecenter-alpha_3-12-n6,6,538.18,394.57,0,416.25
doublecenter-alpha_3-13-n6,6,697.37,342.99,0,293.1
doublecenter-alpha_3-14-n6,6,641.11,457.83,0,458.09
doublecenter-alpha_3-15-n6,6,572.2,424.91,0,421.55
doublecenter-alpha_3-16-n6,6,584.36,369.59,0,382.93
doublecenter-alpha_3-17-n6,6,621.07,328,0,294.59
doublecenter-alpha_3-18-n6,6,598.36,358.44,0,343.98
doublecenter-alpha_3-19-n6,6,516.41,193.5,0,193.5
